,ev_demand_kW,temp_C,cloud_cover,solar_power_kW,wind_speed_m_s,wind_power_kW,grid_freq_dev,hour_of_day,day_of_week,day_of_year,month,is_weekend,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,lag_1_ev_demand,lag_2_ev_demand,lag_3_ev_demand,lag_24_ev_demand,lag_48_ev_demand,lag_168_ev_demand,lag_1_solar_power_kW,lag_1_wind_power_kW,lag_1_temp_C
2024-01-08 00:00:00,0.01788136879869086,0.2757620428894427,0.24155057245993708,0.0,0.3150451326384697,0.0033865728978545785,0.8207201935407071,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.004868674735312584,0.04326481456576818,0.05885211139581664,0.014279127120488544,0.015494582310583226,0.029609128221410996,0.014361313970011478,0.1372700754908679,0.3085218291751403
2024-01-08 01:00:00,0.009164962305197309,0.20669984008809522,0.40353220502964393,0.0,0.17756321280745196,0.018153722815773543,0.7665281948025532,0.043478260869565216,0.0,0.0,0.0,0.0,0.6294095225512604,0.9829629131445341,0.5,1.0,0.01788136879869086,0.004868674735312584,0.04326481456576818,0.0378529319939224,0.011826968124910775,0.043524991866051986,0.0,0.0033865728978545785,0.2757620428894427
2024-01-08 02:00:00,0.03337295737360391,0.14881893079447198,0.18016500797401475,0.009539684065383107,0.41004532389664117,0.07911873330775704,0.6950589413518513,0.08695652173913043,0.0,0.0,0.0,0.0,0.75,0.9330127018922194,0.5,1.0,0.009164962305197309,0.01788136879869086,0.004868674735312584,0.013734876662410762,0.0243233058957802,0.04026928707443766,0.0,0.018153722815773543,0.20669984008809522
2024-01-08 03:00:00,0.01106088191966386,0.19400536285967152,0.2525014703726815,0.0,0.44091816607251755,0.09888674489087479,0.6245277948744745,0.13043478260869565,0.0,0.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.5,1.0,0.03337295737360391,0.009164962305197309,0.01788136879869086,0.017285075145397788,0.005539079217260551,0.005096896417265316,0.009539684065383107,0.07911873330775704,0.14881893079447198
2024-01-08 04:00:00,0.059256462216181034,0.10279731768791603,0.16215363491304102,0.0,0.47689094727831993,0.1384493270650419,0.3621665969355584,0.17391304347826086,0.0,0.0,0.0,0.0,0.9330127018922193,0.75,0.5,1.0,0.01106088191966386,0.03337295737360391,0.009164962305197309,0.02554738002896139,0.012527415201532808,0.03613574405114912,0.0,0.09888674489087479,0.19400536285967152
2024-01-08 05:00:00,0.0014133054665497373,0.062203268941539214,0.3197230495085765,0.0,0.4765048077424783,0.0907703511420532,0.2652727348803139,0.21739130434782608,0.0,0.0,0.0,0.0,0.9829629131445341,0.6294095225512604,0.5,1.0,0.059256462216181034,0.01106088191966386,0.03337295737360391,0.00765243846083061,0.03624018706771241,0.02905675561683212,0.0,0.1384493270650419,0.10279731768791603
2024-01-08 06:00:00,0.018372468756295633,0.17848678822413838,0.4028240980152086,0.003646477672449647,0.5840455521418109,0.2951706082079585,0.25963917320997093,0.2608695652173913,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0014133054665497373,0.059256462216181034,0.01106088191966386,0.021724716286972198,0.028750905304556536,0.045306870932365295,0.0,0.0907703511420532,0.062203268941539214
2024-01-08 07:00:00,0.03152887970651332,0.03398089218364696,0.4560131695148721,0.0013837676144850318,0.6863499488496796,0.6281363028254928,0.12513402448410554,0.30434782608695654,0.0,0.0,0.0,0.0,0.9829629131445341,0.3705904774487397,0.5,1.0,0.018372468756295633,0.0014133054665497373,0.059256462216181034,0.044478609351078356,0.02129684258502497,0.0062024894316856155,0.003646477672449647,0.2951706082079585,0.17848678822413838
2024-01-08 08:00:00,0.4595927199349954,0.09969509600466978,0.5641679929953268,0.0,0.6894977373412029,0.6543195460087208,0.18078399427874253,0.34782608695652173,0.0,0.0,0.0,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0,0.03152887970651332,0.018372468756295633,0.0014133054665497373,0.1694533060547104,0.2248631084754022,0.4222403282309386,0.0013837676144850318,0.6281363028254928,0.03398089218364696
2024-01-08 09:00:00,0.43370206078564805,0.11568416128861733,0.5813548287090984,0.24251871107279643,0.7303387924497361,0.8531972581016735,0.2903247893101678,0.3913043478260869,0.0,0.0,0.0,0.0,0.8535533905932737,0.14644660940672627,0.5,1.0,0.4595927199349954,0.03152887970651332,0.018372468756295633,0.2639910288600416,0.17238668768782645,0.4366061088225756,0.0,0.6543195460087208,0.09969509600466978
2024-01-08 10:00:00,0.4050789223808385,0.17526524829633694,0.5266172529697424,0.45302685138767784,0.42378736170051634,0.06919515272006901,0.2658184215979108,0.43478260869565216,0.0,0.0,0.0,0.0,0.75,0.06698729810778065,0.5,1.0,0.43370206078564805,0.4595927199349954,0.03152887970651332,0.22188432398342936,0.2296835888746877,0.4717436187315419,0.24251871107279643,0.8531972581016735,0.11568416128861733
2024-01-08 11:00:00,0.0282287372246438,0.21386609068702558,0.5761535435968281,0.6005661800953466,0.6381539335469851,0.4879199280073333,0.18354652256990078,0.4782608695652174,0.0,0.0,0.0,0.0,0.6294095225512605,0.0170370868554659,0.5,1.0,0.4050789223808385,0.43370206078564805,0.4595927199349954,0.028412835085638532,0.020928495035893255,0.008411049153859035,0.45302685138767784,0.06919515272006901,0.17526524829633694
2024-01-08 12:00:00,0.04212768532369693,0.2905133173311224,0.6156393811622036,0.7842800676873587,0.7016362141356833,0.7461424922768232,0.2640728667981236,0.5217391304347826,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5,1.0,0.0282287372246438,0.4050789223808385,0.43370206078564805,0.008472469794228844,0.02104870175622,0.04880854753240477,0.6005661800953466,0.4879199280073333,0.21386609068702558
2024-01-08 13:00:00,0.023053956495091493,0.18340963925946463,0.7303059314631113,0.8270893594011743,0.6387982982708472,0.5103659543919722,0.14494795523379167,0.5652173913043478,0.0,0.0,0.0,0.0,0.37059047744873963,0.017037086855465844,0.5,1.0,0.04212768532369693,0.0282287372246438,0.4050789223808385,0.032333495204820706,0.02332394139291297,0.06120317035162698,0.7842800676873587,0.7461424922768232,0.2905133173311224
2024-01-08 14:00:00,0.08300296226989329,0.2826379127657793,0.7089179565645263,0.8226322406872376,0.4179944739085556,0.07397320738990876,0.19637340781323812,0.6086956521739131,0.0,0.0,0.0,0.0,0.2500000000000001,0.06698729810778059,0.5,1.0,0.023053956495091493,0.04212768532369693,0.0282287372246438,0.01763719869426317,0.02425997813427826,0.05041988011448074,0.8270893594011743,0.5103659543919722,0.18340963925946463
2024-01-08 15:00:00,0.03615622165190084,0.3692115444420404,0.7110806523388715,0.7831144501930595,0.5410941062176884,0.22818129192519088,0.05818794465548416,0.6521739130434783,0.0,0.0,0.0,0.0,0.14644660940672644,0.14644660940672605,0.5,1.0,0.08300296226989329,0.023053956495091493,0.04212768532369693,0.010492110773998215,0.05942307039878532,0.013097780596780226,0.8226322406872376,0.07397320738990876,0.2826379127657793
2024-01-08 16:00:00,0.034253326189172456,0.41175101139099657,0.8667755145508841,0.6471185540054786,0.4943013686632275,0.1308141445804722,0.21995581233586747,0.6956521739130435,0.0,0.0,0.0,0.0,0.06698729810778081,0.24999999999999978,0.5,1.0,0.03615622165190084,0.08300296226989329,0.023053956495091493,0.014870776096757701,0.039532786865313474,0.018714163979045514,0.7831144501930595,0.22818129192519088,0.3692115444420404
2024-01-08 17:00:00,0.6604624773283967,0.37496004864961296,0.7620590385038282,0.5515772700272848,0.4293954785570323,0.06675673901127759,0.14617681076548492,0.7391304347826086,0.0,0.0,0.0,0.0,0.017037086855465844,0.3705904774487397,0.5,1.0,0.034253326189172456,0.03615622165190084,0.08300296226989329,0.26944688461276817,0.3332080760849101,0.6377705809894991,0.6471185540054786,0.1308141445804722,0.41175101139099657
2024-01-08 18:00:00,0.6059074415010884,0.4445802686167837,0.4649364533506175,0.5055159034932806,0.4316321412001153,0.10162410470393334,0.2916361790205592,0.7826086956521738,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.5,1.0,0.6604624773283967,0.034253326189172456,0.03615622165190084,0.30387523389605875,0.2932796625394877,0.6288417878615796,0.5515772700272848,0.06675673901127759,0.37496004864961296
2024-01-08 19:00:00,0.6473587427862387,0.4178734895982035,0.7305864496932595,0.17134359257931403,0.39280212035320106,0.06427839548402813,0.45968903850809995,0.8260869565217391,0.0,0.0,0.0,0.0,0.01703708685546579,0.6294095225512601,0.5,1.0,0.6059074415010884,0.6604624773283967,0.034253326189172456,0.29979431577619026,0.33602799042493914,0.6627211847974182,0.5055159034932806,0.10162410470393334,0.4445802686167837
2024-01-08 20:00:00,0.6670282350049921,0.361507213202955,0.5886916152030373,0.024439156428534142,0.44563637340359535,0.11715848629810899,0.7142073482111163,0.8695652173913043,0.0,0.0,0.0,0.0,0.0669872981077807,0.75,0.5,1.0,0.6473587427862387,0.6059074415010884,0.6604624773283967,0.28523441035444436,0.2991884112961301,0.6655409011409485,0.17134359257931403,0.06427839548402813,0.4178734895982035
