level_0,level_1,ev_demand_kW
2024-01-01 00:00:00,station_1,0.0
2024-01-01 00:00:00,station_2,5.918106586157926
2024-01-01 00:00:00,station_3,6.490875723383401
2024-01-01 00:00:00,station_4,8.037488356480008
2024-01-01 00:00:00,station_5,0.04726468507706657
2024-01-01 01:00:00,station_1,8.415423906107046
2024-01-01 01:00:00,station_2,0.0
2024-01-01 01:00:00,station_3,0.27866078699845387
2024-01-01 01:00:00,station_4,21.431410991585516
2024-01-01 01:00:00,station_5,0.0
2024-01-01 02:00:00,station_1,0.0
2024-01-01 02:00:00,station_2,0.6693732933028255
2024-01-01 02:00:00,station_3,4.477028433537715
2024-01-01 02:00:00,station_4,11.204536496098509
2024-01-01 02:00:00,station_5,11.521145882670107
2024-01-01 03:00:00,station_1,3.5277785116234437
2024-01-01 03:00:00,station_2,0.0
2024-01-01 03:00:00,station_3,0.0
2024-01-01 03:00:00,station_4,0.0
2024-01-01 03:00:00,station_5,0.0
2024-01-01 04:00:00,station_1,0.0
2024-01-01 04:00:00,station_2,0.0
2024-01-01 04:00:00,station_3,7.146654001355674
2024-01-01 04:00:00,station_4,1.8008091386246856
2024-01-01 04:00:00,station_5,16.063620258407784
2024-01-01 05:00:00,station_1,0.0
2024-01-01 05:00:00,station_2,8.055828526077622
2024-01-01 05:00:00,station_3,12.055586282221057
2024-01-01 05:00:00,station_4,0.0
2024-01-01 05:00:00,station_5,0.0
2024-01-01 06:00:00,station_1,0.0
2024-01-01 06:00:00,station_2,0.0
2024-01-01 06:00:00,station_3,1.320686315597245
2024-01-01 06:00:00,station_4,21.783442458375937
2024-01-01 06:00:00,station_5,8.254681101517976
2024-01-01 07:00:00,station_1,0.4768068305429378
2024-01-01 07:00:00,station_2,0.0
2024-01-01 07:00:00,station_3,0.0
2024-01-01 07:00:00,station_4,0.0
2024-01-01 07:00:00,station_5,3.8161995687144437
2024-01-01 08:00:00,station_1,49.53787637148259
2024-01-01 08:00:00,station_2,45.529895331358276
2024-01-01 08:00:00,station_3,54.33636488323021
2024-01-01 08:00:00,station_4,84.12082406298472
2024-01-01 08:00:00,station_5,58.72550605223684
2024-01-01 09:00:00,station_1,48.242946820555844
2024-01-01 09:00:00,station_2,64.06484884509558
2024-01-01 09:00:00,station_3,51.07182832356161
2024-01-01 09:00:00,station_4,65.71021243392785
2024-01-01 09:00:00,station_5,73.10379724191469
2024-01-01 10:00:00,station_1,49.813018319750185
2024-01-01 10:00:00,station_2,63.47812323533288
2024-01-01 10:00:00,station_3,62.114738376515376
2024-01-01 10:00:00,station_4,67.62418699700795
2024-01-01 10:00:00,station_5,83.48372988296941
2024-01-01 11:00:00,station_1,0.0
2024-01-01 11:00:00,station_2,5.821644396123085
2024-01-01 11:00:00,station_3,0.0
2024-01-01 11:00:00,station_4,0.0
2024-01-01 11:00:00,station_5,0.0
2024-01-01 12:00:00,station_1,0.0
2024-01-01 12:00:00,station_2,6.626739026264526
2024-01-01 12:00:00,station_3,0.0
2024-01-01 12:00:00,station_4,0.0
2024-01-01 12:00:00,station_5,27.15572996508166
2024-01-01 13:00:00,station_1,3.1823333580011193
2024-01-01 13:00:00,station_2,1.8332470045241487
2024-01-01 13:00:00,station_3,10.719852083874965
2024-01-01 13:00:00,station_4,13.140120915782878
2024-01-01 13:00:00,station_5,13.485760569627868
2024-01-01 14:00:00,station_1,0.0
2024-01-01 14:00:00,station_2,3.3495987322723026
